identifier,gidro_num,namelong,lat,lon,namewater,codbasin
22403,22403,КЕСТЕНЬГА - BДХР.КУМСКОЕ,65.88,31.82,BДХР.КУМСКОЕ,020
48002,48002,ШЕЛТОЗЕРО - Р.ШЕЛТОЗЕРКА,61.36,35.35,Р.ШЕЛТОЗЕРКА,020
48006,48006,ПЕТРОЗАВОДСК - Р.ЛОСОСИНКА,61.73,34.33,Р.ЛОСОСИНКА,020
48011,48011,ПЕТРОЗАВОДСК - Р.НЕГЛИНКА,61.47,34.21,Р.НЕГЛИНКА,020
48021,48021,БЕСОВЕЦ - Р.ШУЯ,61.88,34.15,Р.ШУЯ,020
48029,48029,ЧУРАЛАХТА - Р.СЯНЬГА,61.91,33.38,Р.СЯНЬГА,020
48030,48030,ПРЯЖА - Р.СВЯТРЕКА,61.67,33.63,Р.СВЯТРЕКА,020
48038,48038,ПОРОСОЗЕРО - Р.СУНА,62.7,32.75,Р.СУНА,020
48043,48043,КИВАЧ - Р.СУНА,62.28,33.96,Р.СУНА,020
48055,48055,УНИЦА - Р.УНИЦА,62.61,34.43,Р.УНИЦА,020
48056,48056,УНИЦА - Р.МАЛАЯ ПИГМА,62.6,34.46,Р.МАЛАЯ ПИГМА,020
48058,48058,МЕДВЕЖЬЕГОРСК - Р.КУМСА,62.91,34.43,Р.КУМСА,020
48069,48069,НЕМИНО-3 - Р.НЕМИНА,62.62,35.82,Р.НЕМИНА,020
48071,48071,ПЯЛЬМА - Р.ПЯЛЬМА,62.4,35.86,Р.ПЯЛЬМА,020
48075,48075,ВОДЛА - Р.BОДЛА,62.08,37.45,Р.BОДЛА,020
48079,48079,ПУДОЖ - Р.BОДЛА,61.49,36.28,Р.BОДЛА,020
48080,48080,ПОДПОРОЖЬЕ - Р.BОДЛА,61.83,36.4,Р.BОДЛА,020
48085,48085,КУБОВСКАЯ - Р.КОЛОДА,61.95,37.2,Р.КОЛОДА,020
48087,48087,КРИВЦЫ - Р.СОМБА,61.8,36.93,Р.СОМБА,020
48088,48088,ХАРЛОВСКАЯ - Р.РАГНУКСА,61.87,36.45,Р.РАГНУКСА,020
48089,48089,ПУДОЖ - Р.БОЛЬШАЯ BЕЛМУКСА,61.83,36.51,Р.БОЛЬШАЯ BЕЛМУКСА,020
48090,48090,ОНЕЖСКИЙ - Р.ШАЛИЦА,61.98,35.88,Р.ШАЛИЦА,020
48091,48091,КАРШЕВО - Р.ЧЕРНАЯ,61.66,36.31,Р.ЧЕРНАЯ,020
48097,48097,РУБЦОВО - Р.АНДОМА,61.1855555555556,36.7266694444444,Р.АНДОМА,020
48099,48099,ОКТЯБРЬСКИЙ - Р.САМИНА,61.3883361111111,36.65,Р.САМИНА,020
48110,48110,БАЗА - Р.ШИМА,60.85,37.05,Р.ШИМА,020
48123,48123,ПАВЛОВСКАЯ - Р.МЕГРА,60.7183361111111,35.9738916666667,Р.МЕГРА,020
48902,48902,ВОЗНЕСЕНЬЕ - ОЗ.ОНЕЖСКОЕ,61.01,35.48,ОЗ.ОНЕЖСКОЕ,020
48910,48910,ПЕТРОЗАВОДСК - ОЗ.ОНЕЖСКОЕ,61.78,34.4,ОЗ.ОНЕЖСКОЕ,020
48921,48921,"КОНДОПОГА - ОЗ.ОНЕЖСКОЕ, ГУБА КОНДОПОЖСКАЯ",62.2,34.3,"ОЗ.ОНЕЖСКОЕ, ГУБА КОНДОПОЖСКАЯ",020
48921,48921,КОНДОПОГА - ОЗ.ОНЕЖСКОЕ,62.17,34.3,ОЗ.ОНЕЖСКОЕ,020
