identifier,count,name,namewater,codbasin,lat,lon
8219,3,ЗУЛУМАЙ,,,53.7,101.35
8347,6,АЛЗАМАЙ,Р. ТОПОРОК,162,55.55,98.6766666666667
8219,3,ЗУЛУМАЙ (ГП ПРИ ЗУЛУМАЙ М),Р.ЗИМА,162,53.7,101.35
70616,2,ЗИМНЯК,Р.ЛЕЖА,030,59.03,40.5
10279,2,Мундыбаш,р. Мундыбаш,152,53.12,87.18
70158,7,ЗАХАРОВО,Р.КИЧМЕНЬГА,030,60.0766694444444,45.65
3201,1,ТЯНЯ,Р.ТЭЭНЭ,172,59.0,119.8
3811,37,"7,5 КМ НИЖЕ УСТЬЯ Р.БУУР (ГП ПРИ ТЮМЯТИ Г)",Р.ОЛЕНЕК,176,71.5,123.58
70281,4,ШЕНКУРСК ,"Р.BАГА, БАСС. Р.СЕВ.ДВИНА",030,62.1,42.9
83332,2,КРАСНЫЙ КУТ,р. Малый Чохрак,081,44.62,40.57
5208,2,ИВАНОВКА,Р.ИЛИСТАЯ,181,43.58,132.28
10331,1,Батурино,р. Чулым,152,57.47,85.09
3637,4,ЗВЁЗДНЫЙ,Р.НИЯ,171,56.75,106.48
10599,5,БОЛЬШЕТАРХОВО - р.Вах,Р.BАХ,152,61.1166666666667,77.1666666666667
3596,6,БЕЛЬКАЧИ,Р.АЛДАН,173,59.2,131.92
5403,2,МАНОМА I-Я,Р.МАНОМА,181,49.33,136.63
10301,12,Басандайка,р. Басандайка,152,56.19,85.15
3222,10,УСТЬ-МИЛЬ,Р.АЛДАН,173,59.6333333333333,133.033333333333
83415,1,СЕВЕРСКАЯ,р. Убинка,081,44.85,38.67
70135,4,КОТЛАКСА,Р.ДBИНИЦА,030,59.63,40.61
3222,10,УСТЬ-МИЛЬ (ГП ПРИ УСТЬ-МИЛЬ Г),Р.АЛДАН,173,59.63,133.03
70091,2,ТОТЬМА,Р.СУХОНА,030,59.97,42.77
70271,8,ШЕХАНОВСКАЯ,Р.КОДИМА,030,61.91,43.73
10211,1,Нижний Коен,р. Коен,152,54.48,83.2
10554,1,Прокудское,р. Чик,152,55.01,82.28
10248,2,Поломошное,р. Томь,152,55.44,84.56
5336,14,СРЕДНЕХОРСКИЙ,Р.ХОР,181,47.67,136.18
3220,1,УГИНО (ГП ПРИ УГИНО М),Р.АЛДАН,173,58.63,128.5
3210,2,БРОЛОГ,Р.БУОТАМА,172,61.05,128.65
3430,6,ТОМТОР (ДУЛГАЛАХСКИЙ),Р.ДУЛГАЛААХ,177,67.12,132.13
10715,1,НИЖНЕСОРТЫМСКИЙ (ГП ПРИ НИЖНЕСОРТЫМСКИЙ М) - р. Пим,Р.ПИМ,152,62.45,71.75
70258,1,ЯРУХИНО,Р.УФТЮГА,030,61.71,46.71
84011,6,ВОЗДВИЖЕНСКОЕ,р. Калаус,082,45.81,43.66
70486,3,КОЧМЕС,Р.Б.КОЧМЕС,030,66.2,60.83
10215,1,Ленинск-Кузнецкий,р. Иня,152,54.4,86.08
70471,2,УСИНСК,Р.УСА,030,65.93,57.45
70487,2,КОСЬЮ,Р.КОСЬЮ,030,65.65,59.0
70067,3,НИЖНЯЯ ТОЙМА,Р.СЕB.ДBИНА,030,62.36,44.26
8230,7,АРШАН,Р.ИЯ,162,53.92,99.9
70559,1,НИЖНЯЯ ОМРА,Р.СОЙBА,030,62.73,55.86
70579,2,ГАВРИЛОВО,Р.BЫЯ,030,62.93,46.38
3045,1,ЯКУТСК,Р.ЛЕНА,171,62.0,129.67
3007,1,ОРЛИНГА (ГП ПРИ ОРЛИНГА М),Р.ЛЕНА,171,56.05,105.83
3045,1,ЯКУТСК,Р.ЛЕНА,171,62.03,129.75
3076,4,МУКА,Р.КУПА,171,56.67,104.67
83829,3,СЛОБОДКА,"р. Кубань, рук. Протока",081,45.672242,37.816897
